"Source:","/home/dimercur/Travail/git/dumber/hardware/pcb/Dumber-v3/dumber-v3/dumber-v3.kicad_sch"
"Date:","lun. 04 sept. 2023 10:56:20"
"Tool:","Eeschema 7.0.7"
"Generator:","/app/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","70"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","BT1","Li-ION","Device:Battery_Cell","INSA:Battery-14500","~",""
"2","2","C1, C4","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"3","1","C2","68nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"4","1","C3","100µF","Device:C","Capacitor_SMD:C_1210_3225Metric","~",""
"5","1","C5","2.2µF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"6","2","C6, C11","10µF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"7","4","C7, C12, C13, C22","1µF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"8","1","C8","650pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"9","1","C9","100pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"10","1","C10","10µF","Device:C","Capacitor_SMD:C_1210_3225Metric","~",""
"11","2","C14, C15","470nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"12","4","C16, C17, C18, C19","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"13","1","C21","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"14","1","D1","PMEG2020CPA","Device:D_Dual_CommonCathode_AAK_Parallel","INSA:Nexperia_SOT-1061","~",""
"15","1","D2","FM5818-W","Device:D_Schottky","Diode_SMD:D_SMA","~",""
"16","3","H1, H2, H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_ISO14580","~",""
"17","2","J1, J2","Conn_02x03_Odd_Even","Connector_Generic:Conn_02x03_Odd_Even","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","~",""
"18","1","J3","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Horizontal","~",""
"19","1","J4","TE 1-84982-0","Connector_Generic:Conn_01x10","INSA:TE 1-84982-0","~",""
"20","1","L1","10µH","Device:L","Inductor_SMD:L_Bourns_SRP7028A_7.3x6.6mm","~",""
"21","1","L2","5,6µH","Device:L","Inductor_SMD:L_1812_4532Metric","~",""
"22","2","M1, M2","Motor","Insa:Motor","INSA:Motor Pololu HPCB with encoder","",""
"23","1","P1","USB_C_Plug_GCT_USB4125","Insa:USB_C_Plug_GCT_USB4125","INSA:USB_C_Receptacle_GCT_USB4125","https://www.usb.org/sites/default/files/documents/usb_type-c.zip",""
"24","2","Q1, Q2","PMN52XP","Insa:PMN52XP","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","~",""
"25","8","R1, R2, R4, R20, R24, R27, R28, R29","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"26","5","R3, R5, R7, R17, R18","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"27","2","R6, R26","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"28","1","R8","47K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"29","1","R9","470","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"30","1","R10","40.2K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"31","1","R11","13.3K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"32","2","R12, R14","15K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"33","1","R13","300","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"34","1","R19","150K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"35","1","R25","10R","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"36","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:Panasonic_EVQPUJ_EVQPUA","~",""
"37","1","U1","XBEE-3","Insa:XBEE-3","INSA:XBEE-3-TH","",""
"38","1","U2","STM32F071CBTx","MCU_ST_STM32F0:STM32F071CBTx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00098745.pdf",""
"39","1","U3","LTC2954-2","Insa:LTC2954-2","Package_TO_SOT_SMD:SOT-23-8","",""
"40","1","U4","L6924U","Insa:L6924U","INSA:L6924UTR","",""
"41","1","U5","LM2731XMF","Regulator_Switching:LM2731XMF","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lm2731.pdf",""
"42","1","U6","AP2206","Regulator_Linear:TC1186","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21350E.pdf",""
"43","1","U7","A3909","Insa:A3909","Package_SO:SSOP-10_3.9x4.9mm_P1.00mm","",""
